target x,target y,x trajectory,y_trajectory
,,-0.045076554,-0.000470329
,,-0.045160948,-0.000498629
,,-0.04524492,-0.000526906
,,-0.045328473,-0.000555158
,,-0.045411612,-0.000583385
,,-0.045494341,-0.000611587
,,-0.045576663,-0.000639764
,,-0.045658583,-0.000667916
,,-0.045740105,-0.000696041
,,-0.045821231,-0.000724139
,,-0.045901965,-0.00075221
,,-0.045982312,-0.000780254
,,-0.046062275,-0.000808269
,,-0.046141857,-0.000836254
,,-0.046221061,-0.00086421
,,-0.046299891,-0.000892134
,,-0.046378351,-0.000920027
,,-0.046456443,-0.000947886
,,-0.046534171,-0.000975712
,,-0.046611538,-0.001003502
,,-0.046688547,-0.001031256
,,-0.046765202,-0.001058972
,,-0.046841505,-0.001086649
,,-0.04691746,-0.001114285
,,-0.046993069,-0.00114188
,,-0.047068336,-0.001169431
,,-0.047143264,-0.001196937
,,-0.047217856,-0.001224396
,,-0.047292114,-0.001251807
,,-0.047366042,-0.001279168
,,-0.047439642,-0.001306478
,,-0.047512917,-0.001333735
,,-0.047585871,-0.001360937
,,-0.047658505,-0.001388083
,,-0.047730822,-0.001415171
,,-0.047802826,-0.001442199
,,-0.047874518,-0.001469167
,,-0.047945901,-0.001496071
,,-0.048016977,-0.001522912
,,-0.04808775,-0.001549686
,,-0.04815822,-0.001576393
,,-0.048228391,-0.001603032
,,-0.048298264,-0.001629601
,,-0.048367842,-0.001656098
,,-0.048437125,-0.001682523
,,-0.048506118,-0.001708874
,,-0.04857482,-0.00173515
,,-0.048643233,-0.00176135
,,-0.04871136,-0.001787473
,,-0.048779202,-0.001813518
,,-0.04884676,-0.001839484
,,-0.048914036,-0.001865369
,,-0.048981031,-0.001891175
,,-0.049047746,-0.001916898
,,-0.049114182,-0.00194254
,,-0.04918034,-0.0019681
,,-0.049246222,-0.001993576
,,-0.049311828,-0.002018968
,,-0.049377159,-0.002044277
,,-0.049442216,-0.002069501
,,-0.049506999,-0.002094641
,,-0.049571509,-0.002119696
,,-0.049635747,-0.002144667
,,-0.049699714,-0.002169552
,,-0.049763409,-0.002194352
,,-0.049826832,-0.002219068
,,-0.049889985,-0.002243698
,,-0.049952868,-0.002268244
,,-0.050015481,-0.002292705
,,-0.050077823,-0.002317082
,,-0.050139896,-0.002341374
,,-0.050201698,-0.002365582
,,-0.050263231,-0.002389707
,,-0.050324493,-0.002413748
,,-0.050385486,-0.002437706
,,-0.050446207,-0.002461581
,,-0.050506657,-0.002485374
,,-0.050566836,-0.002509084
,,-0.050626743,-0.002532712
,,-0.050686377,-0.002556258
,,-0.050745737,-0.002579723
,,-0.050804823,-0.002603107
,,-0.050863634,-0.002626409
,,-0.050922168,-0.00264963
,,-0.050980425,-0.00267277
,,-0.051038403,-0.00269583
,,-0.051096101,-0.002718808
,,-0.051153517,-0.002741706
,,-0.05121065,-0.002764523
,,-0.051267497,-0.002787258
,,-0.051324058,-0.002809912
,,-0.05138033,-0.002832484
,,-0.051436311,-0.002854974
,,-0.051491999,-0.002877382
,,-0.051547391,-0.002899706
,,-0.051602486,-0.002921946
,,-0.05165728,-0.002944102
,,-0.051711771,-0.002966173
,,-0.051765956,-0.002988157
,,-0.051819832,-0.003010053
,,-0.051873396,-0.003031862
,,-0.051926646,-0.00305358
,,-0.051979577,-0.003075208
,,-0.052032187,-0.003096743
,,-0.052084473,-0.003118184
,,-0.052136431,-0.003139529
,,-0.052188057,-0.003160778
,,-0.052239348,-0.003181927
,,-0.0522903,-0.003202975
,,-0.052340911,-0.00322392
,,-0.052391174,-0.003244761
,,-0.052441088,-0.003265493
,,-0.052490649,-0.003286116
,,-0.052539851,-0.003306627
,,-0.052588692,-0.003327024
,,-0.052637167,-0.003347303
,,-0.052685273,-0.003367463
,,-0.052733005,-0.003387499
,,-0.05278036,-0.003407411
,,-0.052827333,-0.003427194
,,-0.05287392,-0.003446846
,,-0.052920118,-0.003466364
,,-0.052965922,-0.003485744
,,-0.053011328,-0.003504983
,,-0.053056333,-0.003524079
,,-0.053100932,-0.003543028
,,-0.053145121,-0.003561826
,,-0.053188897,-0.003580471
,,-0.053232256,-0.003598958
,,-0.053275193,-0.003617285
,,-0.053317707,-0.003635448
,,-0.053359791,-0.003653443
,,-0.053401445,-0.003671268
,,-0.053442662,-0.003688918
,,-0.053483442,-0.00370639
,,-0.053523779,-0.003723681
,,-0.053563671,-0.003740787
,,-0.053603115,-0.003757704
,,-0.053642108,-0.00377443
,,-0.053680646,-0.00379096
,,-0.053718727,-0.003807291
,,-0.053756349,-0.00382342
,,-0.053793507,-0.003839342
,,-0.053830201,-0.003855055
,,-0.053866426,-0.003870555
,,-0.053902182,-0.003885838
,,-0.053937464,-0.003900901
,,-0.053972272,-0.00391574
,,-0.054006603,-0.003930352
,,-0.054040454,-0.003944734
,,-0.054073824,-0.003958881
,,-0.054106711,-0.003972792
,,-0.054139112,-0.003986461
,,-0.054171027,-0.003999886
,,-0.054202453,-0.004013064
,,-0.054233389,-0.00402599
,,-0.054263832,-0.004038663
,,-0.054293783,-0.004051077
,,-0.054323238,-0.004063231
,,-0.054352197,-0.004075121
,,-0.054380659,-0.004086744
,,-0.054408622,-0.004098097
,,-0.054436085,-0.004109176
,,-0.054463047,-0.004119978
,,-0.054489507,-0.004130501
,,-0.054515465,-0.004140741
,,-0.054540919,-0.004150695
,,-0.054565869,-0.004160362
,,-0.054590314,-0.004169736
,,-0.054614253,-0.004178817
,,-0.054637687,-0.004187601
,,-0.054660615,-0.004196085
,,-0.054683037,-0.004204267
,,-0.054704952,-0.004212144
,,-0.054726361,-0.004219713
,,-0.054747265,-0.004226973
,,-0.054767662,-0.00423392
,,-0.054787554,-0.004240553
,,-0.054806941,-0.004246868
,,-0.054825824,-0.004252865
,,-0.054844204,-0.00425854
,,-0.054862081,-0.004263891
,,-0.054879457,-0.004268917
,,-0.054896332,-0.004273615
,,-0.054912709,-0.004277984
,,-0.054928589,-0.004282022
